	DEPT	GR
1122	62.7126	75.0427
1123	62.7126	73.951
1124	62.7888	76.3196
1125	62.7888	73.357
1126	62.865	77.0565
1127	62.865	73.0004
1128	62.9412	77.0438
1129	62.9412	72.8428
1130	63.0174	76.3855
1131	63.0174	72.7238
1132	63.0936	75.526
1133	63.0936	72.5466
1134	63.1698	74.9643
1135	63.1698	72.3488
1136	63.246	74.9982
1137	63.246	72.3264
1138	63.3222	72.6614
1139	63.3222	75.5143
1140	63.3984	76.2418
1141	63.3984	73.4123
1142	63.4746	74.4002
1143	63.4746	76.9158
1144	63.5508	75.3508
1145	63.5508	77.2926
1146	63.627	75.9858
1147	63.627	77.3971
1148	63.7032	77.3822
1149	63.7032	76.1699
1150	63.7794	75.9333
1151	63.7794	77.3287
1152	63.8556	75.4841
1153	63.8556	77.3073
1154	63.9318	75.0701
1155	63.9318	77.4109
1156	64.008	74.9262
1157	64.008	77.6363
1158	64.0842	75.2591
1159	64.0842	77.8731
1160	64.1604	77.9619
1161	64.1604	76.1037
1162	64.2366	77.1949
1163	64.2366	77.7782
1164	64.3128	78.1304
1165	64.3128	77.3451
1166	64.389	78.5026
1167	64.389	76.865
1168	64.4652	76.5901
1169	64.4652	78.1723
1170	64.5414	77.3333
1171	64.5414	76.6891
1172	64.6176	76.5115
1173	64.6176	77.2085
1174	64.6938	76.2296
1175	64.6938	77.8863
1176	64.77	76.8032
