,DEPT,GR
696,72.9996,47.2854
697,73.0758,47.2938
698,73.152,47.1616
699,73.2282,47.1857
700,73.3044,47.6123
701,73.3806,48.4862
702,73.4568,49.7667
703,73.533,51.3069
704,73.6092,52.9225
705,73.6854,54.4623
706,73.7616,55.7653
707,73.8378,56.6864
708,73.914,57.2794
709,73.9902,57.8873
710,74.0664,58.9503
711,74.1426,60.6283
712,74.2188,62.7913
713,74.295,65.1368
714,74.3712,67.3535
715,74.4474,69.2864
716,74.5236,70.9406
717,74.5998,72.4128
718,74.676,73.6522
719,74.7522,74.4307
720,74.8284,74.5962
721,74.9046,74.215
722,74.9808,73.5372
723,75.057,72.8506
724,75.1332,72.307
725,75.2094,71.96
726,75.2856,71.7722
727,75.3618,71.6666
728,75.438,71.6153
729,75.5142,71.7363
730,75.5904,72.1748
731,75.6666,72.8812
732,75.7428,73.5691
733,75.819,73.9033
734,75.8952,73.7377
735,75.9714,73.1491
736,76.0476,72.37
737,76.1238,71.667
738,76.2,71.3345
739,76.2762,71.3584
740,76.3524,71.4612
741,76.4286,71.2862
742,76.5048,70.6708
743,76.581,69.6876
744,76.6572,68.6197
745,76.7334,67.6503
746,76.8096,66.8783
747,76.8858,66.3079
748,76.962,65.9103
749,77.0382,65.5243
750,77.1144,65.1367
751,77.1906,64.7722
752,77.2668,64.4247
753,77.343,64.1687
754,77.4192,64.051
755,77.4954,64.0826
756,77.5716,64.275
757,77.6478,64.5779
758,77.724,64.8237
759,77.8002,64.9382
760,77.8764,64.899
761,77.9526,64.6912
762,78.0288,64.3711
763,78.105,64.0923
764,78.1812,63.9504
765,78.2574,64.0444
766,78.3336,64.3591
767,78.4098,64.7554
768,78.486,65.0002
769,78.5622,64.9849
770,78.6384,64.7316
771,78.7146,64.3632
772,78.7908,64.1686
773,78.867,64.4344
774,78.9432,65.2706
775,79.0194,66.5601
776,79.0956,68.0171
777,79.1718,69.4374
778,79.248,70.6716
779,79.3242,71.6375
780,79.4004,72.2893
781,79.4766,72.6428
782,79.5528,72.8316
783,79.629,72.916
784,79.7052,72.957
785,79.7814,72.9354
786,79.8576,72.7802
787,79.9338,72.473
788,80.01,72.0096
789,80.0862,71.3729
790,80.1624,70.6282
791,80.2386,69.8335
792,80.3148,68.9958
793,80.391,68.141
794,80.4672,67.4702
795,80.5434,67.0847
796,80.6196,66.9071
797,80.6958,66.7686
798,80.772,66.445
799,80.8482,65.8043
800,80.9244,64.9762
801,81.0006,64.2678
802,81.0768,63.8567
803,81.153,63.6775
804,81.2292,63.592
805,81.3054,63.4528
806,81.3816,63.2471
807,81.4578,63.1303
808,81.534,63.249
809,81.6102,63.569
810,81.6864,63.9158
811,81.7626,64.1508
812,81.8388,64.2116
813,81.915,64.1192
814,81.9912,64.0061
815,82.0674,63.9585
816,82.1436,64.009
817,82.2198,64.235
818,82.296,64.7166
819,82.3722,65.4404
820,82.4484,66.3348
821,82.5246,67.2415
822,82.6008,67.9515
823,82.677,68.2639
824,82.7532,68.2071
825,82.8294,67.9397
826,82.9056,67.6208
827,82.9818,67.3644
828,83.058,67.1317
829,83.1342,66.7639
830,83.2104,66.2417
831,83.2866,65.6779
832,83.3628,65.3291
833,83.439,65.3963
834,83.5152,65.8197
835,83.5914,66.3676
836,83.6676,66.7305
837,83.7438,66.7442
838,83.82,66.4463
839,83.8962,66.0659
840,83.9724,65.9748
841,84.0486,66.3595
842,84.1248,67.1333
843,84.201,67.9645
844,84.2772,68.4926
845,84.3534,68.5339
846,84.4296,68.0894
847,84.5058,67.3564
848,84.582,66.6097
849,84.6582,66.001
